task_index	fresh_model_index	grid_model_index	model_label	mass_factor	envelope_amax_um	anchor_ordinal	anchor_tag	region	bin_index	wavelength_um	wavelength_token	instrument	boundary_compromise	spatial_config	zoom_token	nx	ny	expected_fov_au	expected_pixel_au	expected_cdelt_deg	psf_fwhm_arcsec	seed	sed_photons	parameter	parameter_sha256	wavelength_file	wavelength_file_sha256	temperature_task_index	temperature_workdir	task_workdir
10	1	2	m2p00_a0p70_i0p05	2.00	0.70	0	w000	near_ir_short	2	0.9946761707696127	0.9946761707696127	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.032824313635397222	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab	jwst_mcfost/runs/strict_continuum_screen/anchors/w000/strict_continuum_anchor.lambda	5e0fe7e726e460092394135e5d86a4f329f3adf9446ff8f022ee68ce91e8928e	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t010_m2p00_a0p70_i0p05_w000
11	1	2	m2p00_a0p70_i0p05	2.00	0.70	1	w001	near_ir_short	21	1.2028117593024095	1.2028117593024095	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.039692788056979511	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab	jwst_mcfost/runs/strict_continuum_screen/anchors/w001/strict_continuum_anchor.lambda	334e806dac74f3cab0db03b39807968472f2e194cb77ac7d5efc0c9e0d0a305e	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t011_m2p00_a0p70_i0p05_w001
12	1	2	m2p00_a0p70_i0p05	2.00	0.70	2	w002	near_ir_short	43	1.4987957445436022	1.4987957445436022	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.049460259569938873	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab	jwst_mcfost/runs/strict_continuum_screen/anchors/w002/strict_continuum_anchor.lambda	132b8ae57ad0eddc7816e3f45e121643727120e30a1d5ab9708202d2a9310d54	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t012_m2p00_a0p70_i0p05_w002
13	1	2	m2p00_a0p70_i0p05	2.00	0.70	3	w003	near_ir_rise	59	1.7588530996181813	1.7588530996181813	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.058042152287399985	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab	jwst_mcfost/runs/strict_continuum_screen/anchors/w003/strict_continuum_anchor.lambda	90ac5acad1cc9a08e5697ce6d65ffd414b4b9f8cdea8cade92e91a9025a2a68e	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t013_m2p00_a0p70_i0p05_w003
14	1	2	m2p00_a0p70_i0p05	2.00	0.70	4	w004	near_ir_rise	81	2.1916659199557045	2.1916659199557045	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.072324975358538254	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab	jwst_mcfost/runs/strict_continuum_screen/anchors/w004/strict_continuum_anchor.lambda	651e2bf7f7383323e2c48df2e732fe3cc01f7c5816c25ccc82154fd902c5f7a4	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t014_m2p00_a0p70_i0p05_w004
15	1	2	m2p00_a0p70_i0p05	2.00	0.70	5	w005	near_ir_rise	96	2.546352514425122	2.546352514425122	NIRSpec	true	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.084029632976029028	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab	jwst_mcfost/runs/strict_continuum_screen/anchors/w005/strict_continuum_anchor.lambda	9a4c5d5cdb08e1cfbcaa2b5b0eb958d5026b54a4ecfae6683606dcf96e8edb75	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t015_m2p00_a0p70_i0p05_w005
16	1	2	m2p00_a0p70_i0p05	2.00	0.70	6	w006	window_3p9	139	3.9143995604061015	3.9143995604061015	NIRSpec	true	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	0.12917518549340135	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab	jwst_mcfost/runs/strict_continuum_screen/anchors/w006/strict_continuum_anchor.lambda	c0f32299968b99649726432a9298eb8e93020139584fa61fd0f35fa3abaab4e0	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t016_m2p00_a0p70_i0p05_w006
17	1	2	m2p00_a0p70_i0p05	2.00	0.70	7	w007	window_5p4	171	5.3906283153397085	5.3906283153397085	MIRI	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	0.28389073440621038	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab	jwst_mcfost/runs/strict_continuum_screen/anchors/w007/strict_continuum_anchor.lambda	d04ad31c2c028e1669b8a052960e0edcf8bb08a87f52c27820b2fb215fc11399	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t017_m2p00_a0p70_i0p05_w007
18	1	2	m2p00_a0p70_i0p05	2.00	0.70	8	w008	window_13p8	265	13.799908320389276	13.799908320389276	MIRI	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	0.5613969745728461	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab	jwst_mcfost/runs/strict_continuum_screen/anchors/w008/strict_continuum_anchor.lambda	dc00d786476769c0d6165f9b9aea7c4cbe1e85dc4b0bc2512f8e12e8ce9d942b	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t018_m2p00_a0p70_i0p05_w008
19	1	2	m2p00_a0p70_i0p05	2.00	0.70	9	w009	window_27p5	334	27.513091575690556	27.513091575690556	MIRI	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	1.0139320219977885	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/disk_envelope_m2p00_a0p70_i0p05_rt.para	1aa3d6c9ef1d83598849144c6e7f70d5e97202fd5c998b7df9b954882a0affab	jwst_mcfost/runs/strict_continuum_screen/anchors/w009/strict_continuum_anchor.lambda	7d1ac3036216489ffa93c81d5de564ce57ec16820cf043dfb5a36c68cd83f6bd	1	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p00_a0p70_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t019_m2p00_a0p70_i0p05_w009
20	2	3	m2p25_a0p50_i0p05	2.25	0.50	0	w000	near_ir_short	2	0.9946761707696127	0.9946761707696127	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.032824313635397222	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	jwst_mcfost/runs/strict_continuum_screen/anchors/w000/strict_continuum_anchor.lambda	5e0fe7e726e460092394135e5d86a4f329f3adf9446ff8f022ee68ce91e8928e	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t020_m2p25_a0p50_i0p05_w000
21	2	3	m2p25_a0p50_i0p05	2.25	0.50	1	w001	near_ir_short	21	1.2028117593024095	1.2028117593024095	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.039692788056979511	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	jwst_mcfost/runs/strict_continuum_screen/anchors/w001/strict_continuum_anchor.lambda	334e806dac74f3cab0db03b39807968472f2e194cb77ac7d5efc0c9e0d0a305e	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t021_m2p25_a0p50_i0p05_w001
22	2	3	m2p25_a0p50_i0p05	2.25	0.50	2	w002	near_ir_short	43	1.4987957445436022	1.4987957445436022	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.049460259569938873	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	jwst_mcfost/runs/strict_continuum_screen/anchors/w002/strict_continuum_anchor.lambda	132b8ae57ad0eddc7816e3f45e121643727120e30a1d5ab9708202d2a9310d54	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t022_m2p25_a0p50_i0p05_w002
23	2	3	m2p25_a0p50_i0p05	2.25	0.50	3	w003	near_ir_rise	59	1.7588530996181813	1.7588530996181813	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.058042152287399985	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	jwst_mcfost/runs/strict_continuum_screen/anchors/w003/strict_continuum_anchor.lambda	90ac5acad1cc9a08e5697ce6d65ffd414b4b9f8cdea8cade92e91a9025a2a68e	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t023_m2p25_a0p50_i0p05_w003
24	2	3	m2p25_a0p50_i0p05	2.25	0.50	4	w004	near_ir_rise	81	2.1916659199557045	2.1916659199557045	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.072324975358538254	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	jwst_mcfost/runs/strict_continuum_screen/anchors/w004/strict_continuum_anchor.lambda	651e2bf7f7383323e2c48df2e732fe3cc01f7c5816c25ccc82154fd902c5f7a4	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t024_m2p25_a0p50_i0p05_w004
25	2	3	m2p25_a0p50_i0p05	2.25	0.50	5	w005	near_ir_rise	96	2.546352514425122	2.546352514425122	NIRSpec	true	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.084029632976029028	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	jwst_mcfost/runs/strict_continuum_screen/anchors/w005/strict_continuum_anchor.lambda	9a4c5d5cdb08e1cfbcaa2b5b0eb958d5026b54a4ecfae6683606dcf96e8edb75	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t025_m2p25_a0p50_i0p05_w005
26	2	3	m2p25_a0p50_i0p05	2.25	0.50	6	w006	window_3p9	139	3.9143995604061015	3.9143995604061015	NIRSpec	true	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	0.12917518549340135	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	jwst_mcfost/runs/strict_continuum_screen/anchors/w006/strict_continuum_anchor.lambda	c0f32299968b99649726432a9298eb8e93020139584fa61fd0f35fa3abaab4e0	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t026_m2p25_a0p50_i0p05_w006
27	2	3	m2p25_a0p50_i0p05	2.25	0.50	7	w007	window_5p4	171	5.3906283153397085	5.3906283153397085	MIRI	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	0.28389073440621038	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	jwst_mcfost/runs/strict_continuum_screen/anchors/w007/strict_continuum_anchor.lambda	d04ad31c2c028e1669b8a052960e0edcf8bb08a87f52c27820b2fb215fc11399	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t027_m2p25_a0p50_i0p05_w007
28	2	3	m2p25_a0p50_i0p05	2.25	0.50	8	w008	window_13p8	265	13.799908320389276	13.799908320389276	MIRI	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	0.5613969745728461	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	jwst_mcfost/runs/strict_continuum_screen/anchors/w008/strict_continuum_anchor.lambda	dc00d786476769c0d6165f9b9aea7c4cbe1e85dc4b0bc2512f8e12e8ce9d942b	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t028_m2p25_a0p50_i0p05_w008
29	2	3	m2p25_a0p50_i0p05	2.25	0.50	9	w009	window_27p5	334	27.513091575690556	27.513091575690556	MIRI	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	1.0139320219977885	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/disk_envelope_m2p25_a0p50_i0p05_rt.para	898323fff2f3a9928fb5b3f8da8b37aff0f46bdddb603f61340b3fb803c4e4ca	jwst_mcfost/runs/strict_continuum_screen/anchors/w009/strict_continuum_anchor.lambda	7d1ac3036216489ffa93c81d5de564ce57ec16820cf043dfb5a36c68cd83f6bd	2	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t029_m2p25_a0p50_i0p05_w009
30	3	4	m2p25_a0p60_i0p05	2.25	0.60	0	w000	near_ir_short	2	0.9946761707696127	0.9946761707696127	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.032824313635397222	41001	128000	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p60_i0p05/disk_envelope_m2p25_a0p60_i0p05_rt.para	da60f8ea014931f81d63e497ccfe27d2099d33324e54921315b44e1f698ec8eb	jwst_mcfost/runs/strict_continuum_screen/anchors/w000/strict_continuum_anchor.lambda	5e0fe7e726e460092394135e5d86a4f329f3adf9446ff8f022ee68ce91e8928e	3	jwst_mcfost/runs/strict_continuum_refinement_v1/models/m2p25_a0p60_i0p05/temperature	jwst_mcfost/runs/strict_continuum_refinement_v1/rt_tasks/t030_m2p25_a0p60_i0p05_w000
